date,weekday,pax,location
26-6-2024,woensdag,12,hofdame
26-6-2025,donderdag,15,nassauzaal
26-6-2025,donderdag,25,binnentuin
26-6-2025,donderdag,16,heer ivo zaal
26-6-2025,donderdag,13,heer ivo zaal
26-6-2025,donderdag,8,prinsessezaal
26-7-2024,vrijdag,10,binnentuin
26-9-2024,donderdag,16,nassauzaal
26-9-2024,donderdag,15,extern
26-9-2025,vrijdag,15,nassauzaal
26-10-2024,zaterdag,50,extern
26-10-2024,zaterdag,4,extern
26-10-2025,zondag,25,nassauzaal
26-11-2024,dinsdag,7,heer ivo zaal
26-11-2024,dinsdag,10,heer ivo zaal
26-11-2024,dinsdag,6,prinsessezaal
26-11-2024,dinsdag,10,hofdame
26-12-2024,donderdag,10,hofdame
26-12-2024,donderdag,29,nassauzaal
26-12-2024,donderdag,20,hofdame
26-12-2025,vrijdag,10,extern
26-12-2025,vrijdag,10,extern
26-12-2025,vrijdag,11,extern
26-12-2025,vrijdag,13,heer ivo zaal
26-12-2025,vrijdag,16,hofdame
26-12-2025,vrijdag,12,extern
26-12-2025,vrijdag,12,extern
27-1-2026,dinsdag,8,prinsessezaal
27-2-2025,donderdag,28,nassauzaal
27-2-2025,donderdag,10,heer ivo zaal
27-2-2026,vrijdag,35,extern
27-3-2025,donderdag,5,prinsessezaal
27-5-2024,maandag,17,nassauzaal
27-5-2025,dinsdag,16,nassauzaal
27-5-2025,dinsdag,28,nassauzaal
27-6-2024,donderdag,8,prinsessezaal
27-6-2024,donderdag,12,binnentuin
27-8-2025,woensdag,45,binnentuin
27-10-2024,zondag,8,hofdame
27-10-2025,maandag,16,nassauzaal
27-10-2025,maandag,6,extern
27-11-2024,woensdag,2,prinsessezaal
27-11-2025,donderdag,15,nassauzaal
27-11-2025,donderdag,14,heer ivo zaal
27-11-2025,donderdag,20,nassauzaal
27-11-2025,donderdag,14,nassauzaal
27-11-2025,donderdag,50,nassauzaal
27-11-2025,donderdag,15,extern
28-1-2025,dinsdag,20,nassauzaal
28-1-2025,dinsdag,4,hofdame
28-1-2026,woensdag,150,binnentuin
28-2-2025,vrijdag,60,extern
28-2-2025,vrijdag,55,extern
28-5-2024,dinsdag,14,nassauzaal
28-5-2025,woensdag,26,opkamer
28-5-2025,woensdag,18,nassauzaal
28-8-2025,donderdag,50,extern
28-9-2024,zaterdag,50,binnentuin
28-9-2024,zaterdag,13,hofdame
28-10-2025,dinsdag,20,nassauzaal
28-10-2025,dinsdag,5,extern
28-10-2025,dinsdag,8,extern
28-11-2024,donderdag,15,nassauzaal
28-11-2024,donderdag,25,hofdame
28-11-2024,donderdag,2,prinsessezaal
28-11-2024,donderdag,16,hofdame
28-11-2024,donderdag,11,heer ivo zaal
28-11-2024,donderdag,35,extern
28-11-2024,donderdag,8,heer ivo zaal
28-11-2024,donderdag,250,extern
28-11-2024,donderdag,19,hofdame
28-11-2025,vrijdag,5,extern
28-12-2024,zaterdag,13,hofdame
29-1-2025,woensdag,13,nassauzaal
29-1-2025,woensdag,5,heer ivo zaal
29-1-2025,woensdag,150,binnentuin
29-1-2025,woensdag,5,prinsessezaal
29-1-2025,woensdag,30,extern
29-1-2026,donderdag,26,nassauzaal
29-5-2024,woensdag,20,nassauzaal
29-7-2024,maandag,4,prinsessezaal
29-7-2025,dinsdag,9,hofdame
29-9-2025,maandag,30,nassauzaal
29-10-2025,woensdag,7,prinsessezaal
29-10-2025,woensdag,5,extern
29-10-2025,woensdag,5,extern
29-10-2025,woensdag,5,extern
29-11-2024,vrijdag,15,nassauzaal
29-11-2024,vrijdag,65,extern
29-11-2024,vrijdag,2,prinsessezaal
29-11-2024,vrijdag,12,heer ivo zaal
29-11-2025,zaterdag,50,extern
29-12-2025,maandag,12,hofdame
30-1-2025,donderdag,12,heer ivo zaal
30-1-2025,donderdag,35,extern
30-1-2026,vrijdag,50,nassauzaal
30-3-2025,zondag,23,hofdame
30-3-2025,zondag,23,nassauzaal
30-4-2025,woensdag,9,prinsessezaal
30-5-2024,donderdag,25,nassauzaal
30-5-2024,donderdag,60,extern
30-5-2025,vrijdag,80,extern
30-6-2025,maandag,15,hofdame
30-8-2024,vrijdag,70,binnentuin
30-8-2024,vrijdag,45,hofdame
30-8-2025,zaterdag,50,binnentuin
30-9-2024,maandag,25,nassauzaal
30-9-2025,dinsdag,14,opkamer
30-9-2025,dinsdag,14,nassauzaal
30-9-2025,dinsdag,10,heer ivo zaal
30-9-2025,dinsdag,11,hofdame
30-9-2025,dinsdag,30,extern
30-10-2025,donderdag,15,nassauzaal
30-10-2025,donderdag,6,heer ivo zaal
30-10-2025,donderdag,66,nassauzaal
30-10-2025,donderdag,10,extern
31-1-2025,vrijdag,4,prinsessezaal
31-8-2025,zondag,158,binnentuin
31-10-2024,donderdag,8,prinsessezaal
31-10-2025,vrijdag,7,hofdame
