date,weekday,pax,location
11-6-2025,woensdag,35,nassauzaal
11-6-2025,woensdag,10,prinsessezaal
11-6-2025,woensdag,11,nassauzaal
11-6-2025,woensdag,10,heer ivo zaal
11-6-2025,woensdag,3,prinsessezaal
12-6-2024,woensdag,23,nassauzaal
1-7-2025,dinsdag,11,heer ivo zaal
1-7-2025,dinsdag,2,prinsessezaal
2-7-2025,woensdag,10,hofdame
3-7-2025,donderdag,30,nassauzaal
3-7-2025,donderdag,5,heer ivo zaal
5-7-2025,zaterdag,12,heer ivo zaal
6-7-2024,zaterdag,25,extern
6-7-2025,zondag,28,hofdame
9-7-2024,dinsdag,21,hofdame
9-7-2025,woensdag,11,extern
9-7-2025,woensdag,11,heer ivo zaal
10-7-2025,donderdag,10,heer ivo zaal
11-7-2025,vrijdag,7,prinsessezaal
12-7-2024,vrijdag,21,nassauzaal
12-7-2024,vrijdag,21,extern
2-8-2025,zaterdag,80,extern
2-8-2025,zaterdag,10,hofdame
4-8-2025,maandag,25,nassauzaal
4-8-2025,maandag,12,heer ivo zaal
4-8-2025,maandag,20,nassauzaal
4-8-2025,maandag,17,nassauzaal
5-8-2025,dinsdag,70,hofdame
5-8-2025,dinsdag,16,nassauzaal
5-8-2025,dinsdag,40,extern
7-8-2025,donderdag,15,nassauzaal
8-8-2025,vrijdag,12,binnentuin
9-8-2024,vrijdag,25,binnentuin
9-8-2024,vrijdag,16,binnentuin
9-8-2025,zaterdag,5,heer ivo zaal
10-8-2025,zondag,170,binnentuin
10-8-2025,zondag,13,hofdame
11-8-2025,maandag,25,nassauzaal
11-8-2025,maandag,90,extern
11-8-2025,maandag,30,extern
12-8-2024,maandag,15,hofdame
2-9-2025,dinsdag,13,nassauzaal
2-9-2025,dinsdag,35,hofdame
2-9-2025,dinsdag,25,hofdame
4-9-2025,donderdag,28,opkamer
4-9-2025,donderdag,56,nassauzaal
4-9-2025,donderdag,20,nassauzaal
5-9-2025,vrijdag,46,binnentuin
7-9-2024,zaterdag,11,nassauzaal
7-9-2024,zaterdag,18,extern
7-9-2025,zondag,110,binnentuin
7-9-2025,zondag,23,hofdame
7-9-2025,zondag,24,nassauzaal
9-9-2024,maandag,12,heer ivo zaal
9-9-2024,maandag,10,nassauzaal
9-9-2024,maandag,9,prinsessezaal
9-9-2025,dinsdag,9,heer ivo zaal
10-9-2025,woensdag,70,nassauzaal
10-9-2025,woensdag,12,heer ivo zaal
